,,,,,,,,,,,,,,,,
,,,,,,单位:绵阳港华（合并）,,,,,,,,,,
,,,,,,资产负债表,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,会计月:2024-12,,,,,,,,,,
,（单位: 千元）,,,,,,,,,,,,,,,
,国内版,国内版,国内版,,项                    目,项                    目,,港版调整,港版调整,港版调整,,香港版,香港版,香港版,,
,上月结存,本月变动,本月结存,,项                    目,项                    目,,上月结存,本月变动,本月结存,,上月结存,本月变动,本月结存,,
BS1,,,,,BS1 ,非流动资产 ,,,,,,,,,,
,"-69,000.00","20,000.00","-49,000.00",,BS303,借款一年以下,,,,,,"-69,000.00","20,000.00","-49,000.00",,
,"-69,000.00","20,000.00","-49,000.00",,BS30301,銀行借款一年以下,,,,,,"-69,000.00","20,000.00","-49,000.00",,
,,,,,BS30302,委托借款一年以下,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"-77,918.18","6,505.67","-71,412.51",,BS304,合同负债,,"-24,288.97","-8,250.57","-32,539.54",,"-102,207.16","-1,744.89","-103,952.05",,
,,,,,,,,,,,,,,,,
,-3.44,-37.08,-40.52,,BS305,租赁负债一年以下,,,,,,-3.44,-37.08,-40.52,,
,,,,,,,,,,,,,,,,
,,,,,BS306,持有代售负债,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"-243,316.41","3,452.55","-239,863.86",,,流动负债小记,,"-21,869.17","-2,006.76","-23,875.94",,"-265,185.59","1,445.79","-263,739.80",,
,"5,675.77","-41,461.64","-35,785.86",,,流动资产净额,,"-21,869.17","-2,006.76","-23,875.94",,"-16,193.40","-43,468.40","-59,661.80",,
,"723,324.88","-40,303.34","683,021.55",,,资产总额减流动负债,,"148,764.87",612.54,"149,377.41",,"872,089.75","-39,690.79","832,398.96",,
,,,,,,,,,,,,,,,,
,,,,,BS4,非流动负债,,,,,,,,,,
,,,,,BS401,其他应付款一年以上,,,,,,,,,,
,,,,,BS4010101,预计及遞延負債,,,,,,,,,,
,,,,,BS4010102,集团内委托借款,,,,,,,,,,
,,,,,BS4010103,专项应付款,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,BS402,长期借款一年以上,,,,,,,,,,
,,,,,BS40201,长期借款一年以上,,,,,,,,,,
,,,,,BS40202,专项应付款,,,,,,,,,,
,,,,,,,,,,,,,,,,
,-5.51,0.04,-5.47,,BS403,递延税项,,"-5,404.15",,"-5,404.15",,"-5,409.66",0.04,"-5,409.62",,
,-5.51,0.04,-5.47,,BS40301,递延税项,,"-5,404.15",,"-5,404.15",,"-5,409.66",0.04,"-5,409.62",,
,,,,,,,,,,,,,,,,
,-3.42,-160.85,-164.27,,BS404,租赁负债一年以上,,,,,,-3.42,-160.85,-164.27,,
,,,,,,,,,,,,,,,,
,,,,,BS504,股东借款,,,,,,,,,,
,,,,,BS50401,股东借款,,,,,,,,,,
,,,,,,,,,,,,,,,,
,-8.93,-160.80,-169.74,,,非流动负债小记,,"-5,404.15",,"-5,404.15",,"-5,413.08",-160.80,"-5,573.88",,
,"723,315.95","-40,464.14","682,851.81",,,资产净额,,143360.72,612.54,143973.27,,866676.67,-39851.60,"826,825.08",,
,,,,,,,,,,,,,,,,
,,,,,BS5,資本權益,,,,,,,,,,
,"90,000.00",,"90,000.00",,BS501,資本,,,,,,"90,000.00",,"90,000.00",,
,"90,000.00",,"90,000.00",,BS5010101,实收资本,,,,,,"90,000.00",,"90,000.00",,
,,,,,,,,,,,,,,,,
,,,,,BS502,资本溢价,,,,,,,,,,
,,,,,BS50201,资本溢价,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"616,112.89","-40,745.83","575,367.05",,BS503,儲備,,"138,496.99",612.54,"139,109.53",,"754,609.88","-40,133.29","714,476.59",,
,"50,489.53",,"50,489.53",,BS50301,盈余公积,,"-39,583.12",,"-39,583.12",,"10,906.41",,"10,906.41",,
,"486,877.87","-45,000.00","441,877.87",,BS5030201,留存盈餘 /(累計虧損),,"174,286.43",,"174,286.43",,"661,164.30","-45,000.00","616,164.30",,
,"78,745.49","4,254.17","82,999.66",,BS50303,本年利润,,"3,793.68",612.54,"4,406.22",,"82,539.17","4,866.71","87,405.88",,
,,,,,,,,,,,,,,,,
,,,,,BS504,股东借款（2025年1月封存）,,,,,,,,,,
,,,,,BS50401,股东借款（2025年1月封存）,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,BS505,其他(权益工具/综合收益),,,,,,,,,,
,,,,,BS50501,其他权益工具,,,,,,,,,,
,,,,,BS50502,其他综合收益,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"17,203.06",281.69,"17,484.76",,BS601,少数股东权益,,"4,863.73",,"4,863.73",,"22,066.80",281.69,"22,348.49",,
,"17,203.06",281.69,"17,484.76",,BS60101,少数股东权益,,"4,863.73",,"4,863.73",,"22,066.80",281.69,"22,348.49",,
,,,,,,,,,,,,,,,,
,"723,315.95","-40,464.14","682,851.81",,,资本权益合计,,"143,360.72",612.54,"143,973.27",,"866,676.67","-39,851.60","826,825.08",,
,"723,315.95","-40,464.14","682,851.81",,,资本权益合计  （不含股东借款),,"143,360.72",612.54,"143,973.27",,"866,676.67","-39,851.60","826,825.08",,
,-8.93,-160.80,-169.74,,,非流动负债小记 （包含股东借款）,,"-5,404.15",,"-5,404.15",,"-5,413.08",-160.80,"-5,573.88",,
,,,,,,,,,,,,,,,,
,,,,,,,, 制表: ,, 审核: ,,, 日期: ,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,0.00,0.00,0.00,,,,,0.00,,0.00,,0.00,,0.00,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
